	America - Brazil - Karitiana	America - Brazil - Surui	America - Colombia - Colombians	America - Mexico - Maya	America - Mexico - Pima	Asia - Cambodia - Cambodians	Asia - China - Dai	Asia - China - Daur	Asia - China - Han	Asia - China - Hezhen	Asia - China - Lahu	Asia - China - Miaozu	Asia - China - Mongola	Asia - China - Naxi	Asia - China - Oroqen	Asia - China - She	Asia - China - Tu	Asia - China - Tujia	Asia - China - Uygur	Asia - China - Xibo	Asia - China - Yizu	Asia - Japan - Japanese	Asia - Pakistan - Balochi	Asia - Pakistan - Brahui	Asia - Pakistan - Burusho	Asia - Pakistan - Hazara	Asia - Pakistan - Kalash	Asia - Pakistan - Makrani	Asia - Pakistan - Pathan	Asia - Pakistan - Sindhi	Asia - Siberia - Yakut	Europe - France - French	Europe - France - French_Basque	Europe - Italy - Sardinian	Europe - Italy_(Bergamo) - North_Italian	Europe - Orkney_Islands - Orcadian	Europe - Russia - Russian	Europe - Russia_Caucasus - Adygei	Middle_Est - Israel_(Carmel) - Druze	Middle_Est - Israel_(Central) - Palestinian	Middle_Est - Israel_(Negev) - Bedouin	North_Africa - Algeria_(Mzab) - Mozabite	Oceania - Bougainville - NAN_Melanesian	Oceania - New_Guinea - Papuan	Subsaharian_Africa - Central_African_Republic - Biaka_Pygmies	Subsaharian_Africa - Democratic_Republic_of_Congo - Mbuti_Pygmies	Subsaharian_Africa - Kenya - Bantu_N.E.	Subsaharian_Africa - Nigeria - Yoruba	Subsaharian_Africa - Senegal - Mandenka
Asia - China - Lahu	0.240236526445	0.247463161715	0.251551496798	0.270844405044	0.250525410455	0.195029896071	0.164410092341	0.19648926502	0.173981368606	0.19069815411	0.0	0.166492929024	0.203944766266	0.150270475499	0.192424056123	0.158446672988	0.161816053347	0.16114295991	0.282544903937	0.188557195419	0.174645452441	0.186207088121	0.359263145811	0.357221580806	0.331181261507	0.290400811113	0.351045424306	0.367191295516	0.344775632276	0.351370955876	0.23208210448	0.37312034557	0.32216201095	0.378174468449	0.374810130427	0.372142166178	0.359685450832	0.290297667402	0.37720048462	0.380028489312	0.383925162994	0.394953041235	0.279974326552	0.293093793119	0.451565365333	0.445177461565	0.392551986363	0.454037906156	0.450309396811
Asia - China - Miaozu	0.201396140892	0.207404056489	0.216012263089	0.237447100539	0.220074783214	0.16096713136	0.116321295016	0.119484392889	0.122386695724	0.130781225709	0.143000470373	0.0	0.120171641879	0.12312705445	0.136306795012	0.11900923506	0.122588804919	0.110738731332	0.174444140792	0.122845208507	0.130695324067	0.137497368251	0.337159191359	0.336345090493	0.30679177823	0.257979653227	0.324030978781	0.344956007392	0.32054485097	0.326969497863	0.190219144345	0.35038023624	0.302497638489	0.35486236204	0.349992543136	0.347112954016	0.333856258798	0.27139421745	0.354206020326	0.358102960868	0.361767745569	0.315582194946	0.251746697543	0.26402981684	0.434528119612	0.430125507546	0.37964623423	0.436540852151	0.421025399861
Asia - China - Mongola	0.151756714865	0.153098565042	0.160471928608	0.182382006956	0.164205244322	0.135293804971	0.130686068264	0.0971839390303	0.0983040246251	0.108710324102	0.151900168913	0.0883451737885	0.0	0.12340280399	0.0898039730718	0.123069816826	0.115180651272	0.0829812218514	0.14625440933	0.106395022204	0.0963636460708	0.0937845690344	0.290527287506	0.29069650715	0.259359653375	0.207260948299	0.276265168853	0.297907928987	0.272613608759	0.282076232926	0.125821945653	0.300489016784	0.271697889285	0.306542149399	0.302776402358	0.298087616929	0.282986838357	0.237390045802	0.307343129254	0.311909462302	0.315056298409	0.284558314195	0.216549879733	0.224349035926	0.397204342762	0.392133290577	0.356858939154	0.399596628423	0.394570785414
Asia - China - Naxi	0.215966208569	0.220619562348	0.228152881313	0.246859935373	0.232376915911	0.18140807281	0.152936819591	0.165496718809	0.144194333691	0.160261857819	0.143767787657	0.14063783377	0.170899539373	0.0	0.162026854047	0.13870907887	0.145358176056	0.133864068313	0.260611263101	0.159472559884	0.137982660954	0.154503323642	0.343984687934	0.343939369683	0.313246611985	0.269517673594	0.329193044555	0.351689752795	0.328538750462	0.335230211048	0.19959778188	0.356680536574	0.317352486181	0.363243287978	0.358775172671	0.35522295297	0.340375749112	0.286430142477	0.361730916764	0.364817062511	0.366608131287	0.378877105119	0.257036863307	0.270662264846	0.437485399175	0.432926406871	0.389283943527	0.440745136928	0.437980443099
Asia - China - Oroqen	0.178549817308	0.183396447674	0.195998405722	0.215486568708	0.197038645128	0.178946073271	0.155538198304	0.110463655455	0.139564986208	0.122093928465	0.169937975564	0.13659336983	0.121870974876	0.145235614109	0.0	0.150102808905	0.135152244057	0.129510234008	0.167794004719	0.120114711198	0.139363922311	0.135225556387	0.324639342655	0.325125214127	0.293640055152	0.242822277787	0.313697024621	0.332968386947	0.309232104021	0.316659561197	0.152594540525	0.336074146121	0.296314551079	0.342017445969	0.338310094896	0.332979000036	0.316742746579	0.262885077095	0.341499792992	0.346995201651	0.350579901537	0.310847755168	0.24825882741	0.257757751989	0.426192352205	0.421463639806	0.379923189339	0.431098764955	0.423704269195
Asia - China - She	0.223082975784	0.23144072973	0.234358936265	0.250939212174	0.233317618591	0.174409210546	0.136284803227	0.16336415255	0.133525831185	0.15447613002	0.145493352552	0.129970727035	0.164214085023	0.132093742428	0.160398846369	0.0	0.131133002504	0.12613711367	0.263445188834	0.157358922399	0.14602868192	0.149423850843	0.346811143686	0.346777760462	0.319822394779	0.269962583572	0.335202718588	0.354774183534	0.333418954667	0.338375936941	0.202044634541	0.360689755275	0.312503341812	0.36569651873	0.362209786298	0.35838160824	0.343930814025	0.281585144279	0.365636291172	0.367991999669	0.372402108346	0.383075308667	0.259683584566	0.275757712518	0.441403760644	0.434924109575	0.385906350077	0.44426492238	0.440328033689
Asia - China - Tu	0.162762872277	0.165385879579	0.173359614458	0.192636022206	0.177343929752	0.135384198769	0.110178586514	0.110645187297	0.0961660492175	0.105073919841	0.109994592531	0.0938811129903	0.118130864839	0.0994110897112	0.106559165511	0.0913998506544	0.0	0.0853859532943	0.207117130439	0.104259779743	0.0959943818116	0.104499083189	0.292009472858	0.291700707228	0.260826282912	0.213874637953	0.280334368426	0.300138046956	0.278339723429	0.283712007977	0.143590878528	0.305138479087	0.272999349841	0.309979601076	0.306002119004	0.302536760892	0.287900284713	0.238817381891	0.310813188882	0.314943007569	0.319935217925	0.332261928288	0.214767964679	0.225676623462	0.401988854301	0.394473469822	0.357401494411	0.403519128254	0.400018344349
Asia - China - Tujia	0.195091263278	0.199918910422	0.210738476516	0.230008297725	0.213699274917	0.157165164578	0.111756261383	0.113163641567	0.114730472506	0.122453931306	0.13663874957	0.109851055655	0.114111521975	0.115333054561	0.128352082159	0.114244027118	0.113478731105	0.0	0.166994660119	0.116489628916	0.118259148464	0.130595689784	0.333182742571	0.332953474264	0.302788010473	0.255325159325	0.320802674742	0.340856352815	0.318223002201	0.325105732268	0.18494630073	0.345348869803	0.297672166956	0.349890496425	0.286811436866	0.342999370541	0.330013886926	0.263378860413	0.351690072788	0.355216064271	0.358621474061	0.308866634764	0.243372444475	0.257927160198	0.430085492587	0.424035378754	0.3732774999	0.431394694807	0.416244488506
Asia - China - Uygur	0.0779280864691	0.0774031588833	0.0867292599902	0.0983805279897	0.0965063149185	0.0821536507805	0.153290156694	0.0643909641922	0.064411208039	0.0571295928674	0.16497673284	0.0655006123583	0.0673288327071	0.145984350908	0.0576602288587	0.155742128458	0.130920350635	0.0580083815516	0.0	0.0581764763845	0.066263319838	0.0615434552365	0.149589656563	0.148055186373	0.127666108154	0.107141867474	0.132894473109	0.159235509698	0.136234265874	0.144799944805	0.0705910617013	0.152580112578	0.167177029087	0.157777192413	0.153546417802	0.146631952022	0.141102214995	0.134109488583	0.160567243034	0.169623457162	0.177584095754	0.197134040805	0.128706158816	0.138820670183	0.309139292216	0.302583700046	0.294364803552	0.309923653205	0.304373962549
Asia - China - Xibo	0.16549553569	0.166368292448	0.177580505859	0.201021977203	0.181835725409	0.156301384221	0.139541579799	0.117201378206	0.116370699305	0.109931825067	0.154410612471	0.1109901861	0.125935634681	0.130754097105	0.107926793914	0.135210450992	0.120915993459	0.105441672146	0.156728754719	0.0	0.115259036969	0.114904965712	0.307996748643	0.307442122203	0.276873054196	0.226244699128	0.295020475926	0.315787960301	0.290989748354	0.299568267451	0.148606192566	0.319104673433	0.282274023236	0.324065610852	0.320552305953	0.315442921052	0.301019818361	0.249644680984	0.324811636973	0.329099320753	0.333174857889	0.296675769491	0.232679737815	0.244907340971	0.413169485427	0.408994098104	0.369514184282	0.416507105559	0.409484167158
Asia - China - Yizu	0.185171340353	0.187966803665	0.199738081357	0.219159830686	0.200711365634	0.153663385574	0.123458088714	0.11063508484	0.113869144237	0.120439755697	0.137234900592	0.116202556912	0.113370983921	0.105753667468	0.124725257638	0.120852996088	0.110041320175	0.104452999601	0.161365764406	0.112503711993	0.0	0.126416808974	0.320592891999	0.320253566418	0.288940209116	0.24163120045	0.306918657643	0.328373911941	0.303644943172	0.311024681273	0.169361415804	0.335088600015	0.29246983009	0.341200231951	0.33533163659	0.332696161407	0.317683606606	0.257547692741	0.339461010006	0.343994439113	0.347107936874	0.302074863547	0.234413712004	0.24286565847	0.41815698829	0.413961833535	0.36751867625	0.421814435724	0.407321515819
Asia - Japan - Japanese	0.250466373392	0.282884905548	0.154383559553	0.173945743055	0.224880145005	0.0938496216292	0.0545695359006	0.0296737841309	0.0344123859735	0.0407089576965	0.077983927791	0.0495840358407	0.0362769042009	0.0493390838169	0.0467643771666	0.0509174575137	0.0444854228575	0.0429342410464	0.0864445685836	0.0376946890081	0.05315947503	0.0	0.266266225489	0.265029607939	0.232700869129	0.18061101515	0.252245784796	0.274624206752	0.249204845467	0.256543943757	0.0793116711277	0.279661229178	0.229274038439	0.256869882891	0.220487857809	0.215185210952	0.196015242596	0.193846095079	0.286072683244	0.28907793548	0.292826100508	0.241386396194	0.207719047548	0.188076812529	0.36669008193	0.375178844271	0.314398866436	0.330096910352	0.332226394846
Asia - Pakistan - Balochi	0.243368832619	0.263771588039	0.210604480242	0.152019748305	0.215867116517	0.109802505065	0.134800862999	0.116202364719	0.129643018467	0.124929776272	0.145922006705	0.140678316827	0.112333666397	0.132197395114	0.124156698071	0.142522388336	0.111224718895	0.136385234381	0.0260368878778	0.114834758511	0.133644986309	0.136759616756	0.0	0.0267665264425	0.00465134494137	0.0414880466616	0.0408893300243	0.0196617986217	0.0094714053158	0.014842819194	0.115370206578	0.00884031185865	0.0314920192018	0.0367017578984	0.0140558565324	0.011125382638	0.0170147077732	-0.00600363388271	0.0256137403813	0.0113823511387	0.0518230831414	0.0634275175144	0.20002031327	0.246037314213	0.244243974196	0.278664645783	0.189151336586	0.208915329721	0.209583896803
